radius;thickness;material;index;v-no;sa
16.875;6.660;SK16;1.620;60.3;16.3
24.825;0.030;air;;;16.3
13.641;0.750;SF1;1.717;29.5;12.4
11.025;9.735;air;;;10.6
;9.735;air;;;5.9
-11.025;0.750;SF1;1.717;29.5;10.6
-13.641;0.030;air;;;12.4
-24.825;6.660;SK16;1.620;60.3;16.3
-16.875;77.809;air;;;16.3
