radius;thickness;material;index;v-no;sa
51.703;7.896;LAF21;1.788;47.5;27.8
104.948;1.299;air;;;26.1
27.593;6.999;LAF21;1.788;47.5;20.2
83.489;4.011;SF1;1.717;29.5;19.6
19.408;14.505;air;;;12.9
;23.646;air;;;3.7
-30.717;3.546;SF1;1.717;29.5;20.4
-178.935;15.110;LAF21;1.788;47.5;28.8
-40.797;0.200;air;;;31.3
142.810;24.986;LAF21;1.788;47.5;47.3
-190.169;30.885;air;;;48.7
