radius;thickness;material;index;v-no;sa
88.811;8.730;TAF1;1.773;49.6;38.0
468.027;0.210;air;;;37.3
48.472;9.230;LAF2;1.744;44.9;32.2
77.060;4.910;air;;;30.5
104.392;3.030;FD8;1.689;31.2;29.0
32.532;14.770;air;;;24.5
;15.000;air;;;24.5
-32.861;2.040;FD4;1.755;27.5;23.9
277.302;12.840;NBF13;1.806;40.7;31.1
-56.417;0.210;air;;;31.9
-152.163;8.240;TAF3;1.804;46.5;33.0
-58.550;0.190;air;;;33.0
290.780;6.210;LAC10;1.720;50.3;34.0
-210.359;73.783;air;;;34.0
